Sample_name,Label,Hash,nReads
012,MiFish,21e5040375a8680ea6d455b0ea28bd335ba4d12a,2125
060,MiFish,8d7903f3e6b28f135537408d184452f9b342e821,40
030,MiFish,4749db1a615838f181985acec7488b7aa94a2c5d,13
091,MiFish,461c08749136c4b89301dda77c3ad4ba3882d184,11
121,MiFish,e7cc4dbff140e97c92e5678588a8ab74bb59e259,6
046,MiFish,341e828f57c09e0257b58a77fa9175794dd3ff9e,3
052,MiFish,82de1a2969cfdda38a4962024c01a17bf1410e06,4
089,MiFish,dca6e3dfb7be64cb09f9b1938d41a9d0ea3c3781,3
121,MiFish,625e0e19cd0553fa20471d1e98a99e486cff10db,35
012,MiFish,6907c9cf745c499367b530cfaf313f0f0ebd7472,10
048,MiFish,e287ebe60cb5f18752147adaa57c66707daf567e,14
005,MiFish,853cc673da6b2b703d601d6fb8b548754f51e034,5
005,MiFish,c4c436c01ba286f5f3ce68326e23737dc8980333,4
039,MiFish,72a48f432e9e484cfd2954850c5f8d35110071cc,63
015,MiFish,cf79e0e9c5bc571901ed60ceb9d8054f763705b9,30
075,MiFish,7c40e121d6ef008129b12db8ce77e96b46157291,11
063,MiFish,7c40e121d6ef008129b12db8ce77e96b46157291,13
029,MiFish,2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f,8
016,MiFish,2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f,24
014,MiFish,2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f,26
053,MiFish,27efaffcf1f1067d351fff760cda0de424469083,13
056,MiFish,27efaffcf1f1067d351fff760cda0de424469083,14
080,MiFish,27efaffcf1f1067d351fff760cda0de424469083,8
131,MiFish,27efaffcf1f1067d351fff760cda0de424469083,20
128,MiFish,27efaffcf1f1067d351fff760cda0de424469083,13
048,MiFish,f95072de80d0edf8579e02445893ada121b753aa,18
029,MiFish,e1a9f0a87cd792f72a27cb73dfbcd822890ac590,10
075,MiFish,e1a9f0a87cd792f72a27cb73dfbcd822890ac590,9
052,MiFish,e1a9f0a87cd792f72a27cb73dfbcd822890ac590,29
057,MiFish,465dc0bc03bd96cf4181516f7d21a030ca53ec29,15
003,MiFish,892e0faa3b642999c614b1b2257a6467ef6d3986,15
087,MiFish,892e0faa3b642999c614b1b2257a6467ef6d3986,15
103,MiFish,892e0faa3b642999c614b1b2257a6467ef6d3986,11
128,MiFish,892e0faa3b642999c614b1b2257a6467ef6d3986,13
039,MiFish,892e0faa3b642999c614b1b2257a6467ef6d3986,17
082,MiFish,7f1647d257697565ff0cf3520171b71c0eb77d98,12
039,MiFish,390fb06ea2c99b7d29490a7a59ae027294234bfa,12
016,MiFish,7aff70bda9622f2c7f57d7451060ebc2b88b0400,88
121,MiFish,ca16d821bf81e09b219efefcec4dc7f6157beea7,7
016,MiFish,2b05fa4de8855e6150039f2df40e1b4631e3d4fc,19
016,MiFish,e7dd293a71db95cd8ad6eaad6cc6ab4c3148ea45,342
080,MiFish,a82d1dea7447d2f72fd3470710e29a20f12501a3,36
052,MiFish,d87c7a186f7a7457f2d9ba32f974af5f1dd80013,77
015,MiFish,d87c7a186f7a7457f2d9ba32f974af5f1dd80013,310
055,MiFish,d87c7a186f7a7457f2d9ba32f974af5f1dd80013,201
018,MiFish,03fff27e391e67a5471ca9306980ba27068e67a9,20
016,MiFish,03fff27e391e67a5471ca9306980ba27068e67a9,76
058,MiFish,03fff27e391e67a5471ca9306980ba27068e67a9,14
080,MiFish,03fff27e391e67a5471ca9306980ba27068e67a9,26
009,MiFish,03fff27e391e67a5471ca9306980ba27068e67a9,10
014,MiFish,03fff27e391e67a5471ca9306980ba27068e67a9,11
011,MiFish,03fff27e391e67a5471ca9306980ba27068e67a9,40
