"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"033",159630,156530,156514,156505,154751,154751
"043",123560,120656,120650,120610,120529,120529
"089",66786,59905,49656,59716,146,146
"104",19358,18080,18060,18048,4430,4430
"139",159316,153359,153352,153250,152984,152969
"144",43867,41971,41959,41931,17785,17784
"149",2548,2376,2304,2368,0,0
"184",5782,5449,5436,5438,282,282
"194",201253,8447,8430,8428,46,46
"PCRneg",49653,46299,46227,46271,476,476
